Id,Prediction
1,1.5732421875
2,1.5810546875
3,1.6240234375
4,1.7373046875
5,2.2099609375
6,2.107421875
7,2.2529296875
8,1.69921875
9,2.1201171875
10,1.9873046875
11,2.1357421875
12,2.0029296875
13,2.3857421875
14,1.697265625
15,2.0263671875
16,2.2216796875
17,2.0771484375
18,2.1201171875
19,1.70703125
20,2.0263671875
21,2.0927734375
22,2.0966796875
23,2.1474609375
24,1.7294921875
25,2.1474609375
26,1.9091796875
27,1.5732421875
28,2.0302734375
29,2.4169921875
30,2.1787109375
31,1.4091796875
32,2.0263671875
33,1.5263671875
34,1.7216796875
35,2.0966796875
36,2.408203125
37,1.7021484375
38,1.7412109375
39,1.7099609375
40,1.939453125
41,2.134765625
42,1.607421875
43,2.111328125
44,1.6650390625
45,1.7060546875
46,1.8818359375
47,2.0029296875
48,1.7958984375
49,1.9833984375
50,1.6123046875
51,1.7197265625
52,1.9443359375
53,1.5927734375
54,2.0419921875
55,2.1201171875
56,2.0068359375
57,1.70703125
58,1.7255859375
59,1.5693359375
60,1.7216796875
61,2.0654296875
62,2.3583984375
63,2.05078125
64,1.7099609375
65,2.0380859375
66,2.0068359375
67,1.9951171875
68,1.7060546875
69,1.5693359375
70,1.0341796875
71,1.2958984375
72,1.9716796875
73,2.0107421875
74,1.2900390625
75,2.2373046875
76,2.0341796875
77,1.7021484375
78,2.1171875
79,1.6435546875
80,1.8818359375
81,1.9091796875
82,1.9873046875
83,1.5966796875
84,1.6513671875
85,2.2099609375
86,2.1474609375
87,1.5341796875
88,1.7021484375
89,1.3115234375
90,1.9365234375
91,2.1474609375
92,2.0029296875
93,2.1201171875
94,1.8564453125
95,2.2841796875
96,2.1904296875
97,1.8232421875
98,1.70703125
99,1.7294921875
100,2.1201171875
101,1.9990234375
102,2.0029296875
103,2.0107421875
104,1.7958984375
105,1.3857421875
106,1.4677734375
107,1.7998046875
108,2.4169921875
109,1.7412109375
110,2.1787109375
111,2.0302734375
112,1.9931640625
113,2.0263671875
114,1.859375
115,2.3583984375
116,2.0283203125
117,1.8935546875
118,2.134765625
119,2.037109375
120,2.2099609375
121,1.8056640625
122,2.134765625
123,1.7890625
124,1.9833984375
125,1.6357421875
126,1.6064453125
127,2.1171875
128,2.2373046875
129,2.1171875
130,1.2919921875
131,2.1201171875
132,2.0693359375
133,2.1171875
134,1.7060546875
135,1.7412109375
136,1.5810546875
137,2.1474609375
138,2.2099609375
139,2.1552734375
140,1.7060546875
141,2.1474609375
142,1.6591796875
143,1.5927734375
144,1.9755859375
145,1.2880859375
146,1.3955078125
147,1.6513671875
148,1.4794921875
149,2.4755859375
150,1.7060546875
151,1.6669921875
152,1.9990234375
153,1.5263671875
154,2.1474609375
155,1.59765625
156,1.79296875
157,1.6845703125
158,1.7685546875
159,2.1171875
160,1.5224609375
161,1.7373046875
162,1.4951171875
163,2.0263671875
164,1.7265625
165,2.3232421875
166,2.2099609375
167,1.3369140625
168,1.7998046875
169,1.7021484375
170,2.0263671875
171,2.3544921875
172,1.6923828125
173,1.662109375
174,1.7060546875
175,2.3232421875
176,2.3232421875
177,1.7060546875
178,1.2021484375
179,2.0380859375
180,1.8193359375
181,1.70703125
182,2.0029296875
183,2.1201171875
184,2.1201171875
185,1.9873046875
186,1.9443359375
187,1.9677734375
188,1.7373046875
189,2.1552734375
190,1.2470703125
191,1.6005859375
192,2.4169921875
193,2.111328125
194,2.2138671875
195,2.1865234375
196,1.6044921875
197,2.1171875
198,1.8017578125
199,2.14453125
200,2.4140625
201,1.3232421875
202,1.7919921875
203,2.099609375
204,2.1787109375
205,1.5654296875
206,1.7099609375
207,1.9833984375
208,1.6298828125
209,2.0263671875
210,1.9443359375
211,1.98046875
212,2.1171875
213,2.1474609375
214,1.2958984375
215,2.1474609375
216,2.0966796875
217,2.1171875
218,2.3974609375
219,1.2958984375
220,2.0966796875
221,2.1240234375
222,2.5068359375
223,2.1201171875
224,2.0029296875
225,2.2099609375
226,1.7099609375
227,1.3271484375
228,2.1201171875
229,2.1171875
230,1.7021484375
231,1.7060546875
232,1.7060546875
233,1.9365234375
234,1.7744140625
235,2.0693359375
236,1.8232421875
237,2.0419921875
238,2.11328125
239,1.7978515625
240,2.0341796875
241,1.7998046875
242,2.1904296875
243,2.2451171875
244,1.8349609375
245,1.7451171875
246,2.0068359375
247,2.0341796875
248,1.5068359375
249,1.9873046875
250,1.7265625
251,2.0107421875
252,1.9619140625
253,2.1201171875
254,1.6845703125
255,1.384765625
256,2.2373046875
257,2.2099609375
258,1.6064453125
259,1.697265625
260,1.5693359375
261,1.6025390625
262,1.5693359375
263,2.14453125
264,1.6474609375
265,1.2373046875
266,2.0068359375
267,2.14453125
268,2.0927734375
269,1.7998046875
270,1.7333984375
271,1.9365234375
272,1.2490234375
273,1.7294921875
274,1.6923828125
275,1.7099609375
276,1.7373046875
277,2.2099609375
278,1.3955078125
279,1.7470703125
280,2.0771484375
281,1.70703125
282,2.0107421875
283,1.7021484375
284,1.7607421875
285,1.7373046875
286,2.2138671875
287,2.2841796875
288,2.0380859375
289,1.8232421875
290,1.7724609375
291,1.7236328125
292,1.5693359375
293,1.9716796875
294,2.0224609375
295,1.9130859375
296,1.6357421875
297,2.0068359375
298,2.0224609375
299,1.70703125
300,2.1171875
301,1.7060546875
302,2.099609375
303,2.1474609375
304,2.0888671875
305,2.1171875
306,1.5966796875
307,2.14453125
308,1.5966796875
309,1.7724609375
310,2.3505859375
311,1.5966796875
312,1.9677734375
313,2.134765625
314,1.7529296875
315,1.7021484375
316,1.798828125
317,1.7021484375
318,1.7060546875
319,2.0029296875
320,1.5693359375
321,2.0888671875
322,1.2890625
323,2.0771484375
324,1.1923828125
325,2.0380859375
326,2.1171875
327,2.1201171875
328,1.7451171875
329,2.1201171875
330,1.7021484375
331,2.0732421875
332,1.9677734375
333,2.1171875
334,1.9482421875
335,2.1171875
336,2.4443359375
337,2.3115234375
338,1.9365234375
339,1.7880859375
340,1.3310546875
341,2.1201171875
342,2.1171875
343,2.017578125
344,1.6513671875
345,2.0107421875
346,2.14453125
347,1.63671875
348,1.7333984375
349,2.11328125
350,1.3857421875
351,1.7373046875
352,1.6123046875
353,1.7998046875
354,0.9921875
355,1.896484375
356,1.7099609375
357,2.2373046875
358,2.0146484375
359,1.6982421875
360,2.0576171875
361,2.0712890625
362,2.1474609375
363,1.5966796875
364,1.6123046875
365,2.0810546875
366,1.2880859375
367,2.1025390625
368,2.0986328125
369,2.017578125
370,1.6748046875
371,1.7255859375
372,2.4169921875
373,1.83203125
374,2.1171875
375,2.0888671875
376,2.00390625
377,2.0146484375
378,2.3232421875
379,1.2880859375
380,2.0107421875
381,1.5732421875
382,1.6044921875
383,2.107421875
384,2.1552734375
385,2.0537109375
386,1.998046875
387,1.8232421875
388,1.5693359375
389,2.111328125
390,2.044921875
391,1.7099609375
392,2.1171875
393,2.4677734375
394,2.1474609375
395,2.3583984375
396,1.853515625
397,1.9130859375
398,1.7021484375
399,1.7333984375
400,1.9521484375
401,1.7060546875
402,2.1171875
403,1.7333984375
404,1.6650390625
405,2.3583984375
406,2.1171875
407,1.7275390625
408,2.0537109375
409,1.7021484375
410,2.0146484375
411,1.9794921875
412,1.7373046875
413,1.6396484375
414,2.162109375
415,2.0771484375
416,2.0029296875
417,1.2958984375
418,1.6748046875
419,2.1474609375
420,1.3828125
421,2.2216796875
422,1.7099609375
423,2.2412109375
424,2.4140625
425,2.107421875
426,2.0927734375
427,1.7099609375
428,1.7060546875
429,1.7412109375
430,1.6123046875
431,1.6162109375
432,2.2373046875
433,1.5693359375
434,2.11328125
435,1.7333984375
436,1.5966796875
437,1.2158203125
438,1.2685546875
439,2.1201171875
440,2.111328125
441,1.7294921875
442,1.2880859375
443,2.2099609375
444,1.70703125
445,1.9091796875
446,2.0732421875
447,2.0341796875
448,2.3583984375
449,1.5966796875
450,2.0263671875
451,2.017578125
452,2.0302734375
453,2.1171875
454,1.9091796875
455,1.8193359375
456,2.1201171875
457,1.775390625
458,1.6240234375
459,1.2958984375
460,1.7783203125
461,2.1025390625
462,2.0615234375
463,1.97265625
464,2.1474609375
465,1.70703125
466,2.4169921875
467,1.70703125
468,2.1201171875
469,1.8056640625
470,2.2021484375
471,2.0107421875
472,1.9560546875
473,1.7294921875
474,2.2802734375
475,2.4169921875
476,1.9833984375
477,1.5732421875
478,1.7099609375
479,2.1171875
480,2.0576171875
481,2.1630859375
482,1.2822265625
483,2.1171875
484,2.0771484375
485,2.1201171875
486,1.6201171875
487,1.9794921875
488,2.1630859375
489,1.6943359375
490,2.0107421875
491,1.5693359375
492,2.0634765625
493,2.0576171875
494,2.4169921875
495,1.7060546875
496,2.0927734375
497,2.1171875
498,1.662109375
499,2.0947265625
500,1.9873046875
501,1.9794921875
502,1.7138671875
503,1.9990234375
504,2.1201171875
505,1.7880859375
506,1.8017578125
507,1.9560546875
508,1.9990234375
509,2.4443359375
510,1.7060546875
511,1.6162109375
512,1.7548828125
513,2.3857421875
514,2.0146484375
515,1.7060546875
516,2.1923828125
517,2.2412109375
518,2.0146484375
519,2.1083984375
520,2.4169921875
521,2.0068359375
522,2.4169921875
523,2.1171875
524,1.5732421875
525,1.8232421875
526,1.828125
527,1.70703125
528,2.3115234375
529,2.0302734375
530,1.9716796875
531,2.0419921875
532,1.5732421875
533,1.7060546875
534,1.70703125
535,2.111328125
536,2.1474609375
537,2.1552734375
538,1.6455078125
539,1.9794921875
540,1.70703125
541,1.7060546875
542,2.1171875
543,1.70703125
544,1.6650390625
545,1.7373046875
546,2.1396484375
547,1.7060546875
548,2.0380859375
549,2.1171875
550,1.59765625
551,1.7099609375
552,2.1171875
553,2.0341796875
554,1.6240234375
555,2.1171875
556,1.697265625
557,2.14453125
558,2.2099609375
559,1.8505859375
560,1.697265625
561,1.7099609375
562,2.0615234375
563,1.9794921875
564,1.7802734375
565,2.1201171875
566,1.7060546875
567,2.107421875
568,2.3974609375
569,2.0419921875
570,1.7607421875
571,1.6513671875
572,1.2802734375
573,1.7099609375
574,1.7099609375
575,2.44140625
576,1.7373046875
577,1.5849609375
578,1.5927734375
579,1.8818359375
580,2.0068359375
581,1.7099609375
582,1.7373046875
583,2.0341796875
584,1.9873046875
585,2.00390625
586,1.7763671875
587,2.1201171875
588,1.9677734375
589,1.2958984375
590,2.017578125
591,1.7021484375
592,2.0302734375
593,1.7099609375
594,2.0771484375
595,2.0263671875
596,1.7099609375
597,2.14453125
598,2.1201171875
599,1.8701171875
600,1.6240234375
601,2.0927734375
602,1.7646484375
603,1.7060546875
604,2.1005859375
605,2.1171875
606,1.70703125
607,2.0537109375
608,1.7060546875
609,1.7060546875
610,2.0263671875
611,1.5927734375
612,1.783203125
613,1.9794921875
614,1.7607421875
615,2.1201171875
616,1.357421875
617,1.7099609375
618,1.794921875
619,2.0263671875
620,2.1201171875
621,2.4169921875
622,1.7958984375
623,1.7099609375
624,2.0771484375
625,1.6396484375
626,1.7060546875
627,1.2958984375
628,1.7255859375
629,1.5927734375
630,2.0986328125
631,1.6826171875
632,1.7021484375
633,1.5732421875
634,2.2099609375
635,2.2099609375
636,1.2958984375
637,1.4404296875
638,1.6123046875
639,1.697265625
640,1.9873046875
641,1.9931640625
642,1.6708984375
643,1.7060546875
644,2.4755859375
645,2.4677734375
646,1.9833984375
647,2.0107421875
648,1.2958984375
649,1.9912109375
650,1.986328125
651,2.1171875
652,2.4443359375
653,1.7373046875
654,2.4169921875
655,1.9638671875
656,1.6162109375
657,2.14453125
658,2.1474609375
659,1.4677734375
660,2.1201171875
661,1.2880859375
662,1.7060546875
663,2.0224609375
664,2.1171875
665,1.5302734375
666,1.681640625
667,1.5732421875
668,1.7060546875
669,2.1201171875
670,1.4833984375
671,1.1591796875
672,2.0263671875
673,1.7099609375
674,2.1171875
675,2.1171875
676,2.0419921875
677,2.2099609375
678,2.1201171875
679,2.099609375
680,2.1201171875
681,1.6044921875
682,1.8193359375
683,2.0263671875
684,2.072265625
685,2.2802734375
686,1.7998046875
687,1.7060546875
688,1.798828125
689,1.6396484375
690,1.7099609375
691,1.5693359375
692,1.7646484375
693,1.9794921875
694,2.3349609375
695,1.7060546875
696,2.0654296875
697,1.7021484375
698,1.763671875
699,1.7255859375
700,1.7919921875
701,1.986328125
702,1.396484375
703,2.0888671875
704,1.5693359375
705,2.4365234375
706,1.8203125
707,2.1171875
708,1.7451171875
709,1.2646484375
710,1.7099609375
711,1.8544921875
712,1.7060546875
713,1.9765625
714,1.7021484375
715,2.0419921875
716,2.2099609375
717,2.3232421875
718,1.6123046875
719,1.7099609375
720,2.1474609375
721,2.044921875
722,2.14453125
723,2.0302734375
724,1.70703125
725,2.0029296875
726,2.0771484375
727,1.3837890625
728,1.9833984375
729,2.0263671875
730,1.70703125
731,2.1171875
732,2.0107421875
733,2.0146484375
734,1.2919921875
735,2.1201171875
736,1.5888671875
737,2.0078125
738,1.9248046875
739,1.7099609375
740,1.396484375
741,1.9833984375
742,1.2958984375
743,2.107421875
744,1.7373046875
745,1.384765625
746,2.4443359375
747,1.83203125
748,2.1171875
749,2.4404296875
750,1.8564453125
751,1.2880859375
752,1.6982421875
753,1.7236328125
754,1.7021484375
755,1.9990234375
756,2.0146484375
757,1.6552734375
758,1.2822265625
759,1.7451171875
760,1.6787109375
761,2.0419921875
762,1.703125
763,2.0380859375
764,2.1474609375
765,1.4794921875
766,2.2373046875
767,1.7646484375
768,2.2099609375
769,2.1201171875
770,1.4951171875
771,1.7099609375
772,2.0029296875
773,2.1025390625
774,2.134765625
775,2.1171875
776,2.14453125
777,2.1171875
778,2.0068359375
779,1.421875
780,1.9091796875
781,1.7236328125
782,1.7099609375
783,2.072265625
784,1.5107421875
785,1.6923828125
786,1.2919921875
787,2.1201171875
788,1.7998046875
789,1.6123046875
790,1.8193359375
791,2.2099609375
792,2.1201171875
793,2.099609375
794,1.8662109375
795,1.9794921875
796,2.14453125
797,1.5888671875
798,2.0107421875
799,1.6025390625
800,2.0888671875
801,1.9951171875
802,1.70703125
803,1.98046875
804,1.5693359375
805,1.9521484375
806,1.724609375
807,2.0263671875
808,1.2880859375
809,1.6279296875
810,1.2958984375
811,1.7724609375
812,1.2919921875
813,2.1201171875
814,2.0341796875
815,2.3583984375
816,1.9208984375
817,1.2509765625
818,1.6826171875
819,2.140625
820,1.9052734375
821,1.6884765625
822,2.0263671875
823,1.4912109375
824,1.8388671875
825,2.0107421875
826,2.0263671875
827,1.9404296875
